,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sabzawār,36.21,57.68,83.17,25,0,6.58,IR,1595733138
1,Santa Cruz de la Sierra,-17.8,-63.17,55.4,66,90,8.05,BO,1595732886
2,Cape Town,-33.93,18.42,57.2,93,75,2.24,ZA,1595733136
3,Hambantota,6.12,81.12,78.8,100,90,8.05,LK,1595733144
4,Punta Arenas,-53.15,-70.92,24.8,85,48,12.75,CL,1595733145
5,Barrow,71.29,-156.79,41.0,80,90,6.93,US,1595733002
6,Busselton,-33.65,115.33,60.01,84,0,8.61,AU,1595733147
7,Campo Grande,-20.44,-54.65,55.4,71,18,10.29,BR,1595733128
8,Porkhov,57.77,29.56,48.2,100,65,2.24,RU,1595733149
9,São João da Barra,-21.64,-41.05,70.92,88,0,11.27,BR,1595733150
10,Ust'-Barguzin,53.45,108.98,62.82,69,100,2.06,RU,1595733151
11,Arraial do Cabo,-22.97,-42.03,71.6,83,0,18.34,BR,1595733153
12,Butaritari,3.07,172.79,83.34,76,12,15.43,KI,1595733154
13,Mar del Plata,-38.0,-57.56,46.99,87,100,16.11,AR,1595733109
14,Kedrovyy,56.17,91.82,62.6,93,90,4.47,RU,1595733156
15,Kavieng,-2.57,150.8,85.98,71,45,13.62,PG,1595733157
16,Puerto Ayora,-0.74,-90.35,66.99,92,99,1.01,EC,1595733158
17,San Andrés,12.58,-81.7,82.4,78,75,6.93,CO,1595733159
18,Dikson,73.51,80.55,39.38,91,100,15.99,RU,1595732662
19,Jamestown,42.1,-79.24,69.8,73,1,0.94,US,1595733162
20,Sovetskiy,61.36,63.58,64.31,52,6,3.62,RU,1595733163
21,Touros,-5.2,-35.46,71.6,88,40,5.82,BR,1595733164
22,Tonj,7.27,28.68,68.63,95,100,3.51,SS,1595732924
23,East London,-33.02,27.91,69.8,26,0,9.17,ZA,1595733167
24,Nome,64.5,-165.41,59.0,67,90,9.17,US,1595733169
25,Tasiilaq,65.61,-37.64,42.8,87,100,9.17,GL,1595733171
26,Hilo,19.73,-155.09,82.4,65,90,13.87,US,1595733172
27,Carnarvon,-24.87,113.63,75.2,25,0,11.41,AU,1595733173
28,Hobart,-42.88,147.33,57.0,62,20,6.93,AU,1595732923
29,Cabo San Lucas,22.89,-109.91,84.99,78,5,14.99,MX,1595733175
30,Mataura,-46.19,168.86,53.01,67,28,5.95,NZ,1595733176
31,Rikitea,-23.12,-134.97,70.45,81,18,20.85,PF,1595733178
32,Esso,55.93,158.7,69.37,36,35,8.79,RU,1595733179
33,Ushuaia,-54.8,-68.3,30.2,92,40,9.17,AR,1595733180
34,Tuktoyaktuk,69.45,-133.04,50.0,87,90,4.7,CA,1595733182
35,Qaanaaq,77.48,-69.36,41.7,66,0,1.97,GL,1595732614
36,Mareeba,-17.0,145.43,84.0,44,0,6.93,AU,1595733184
37,Tiarei,-17.53,-149.33,80.6,65,20,9.17,PF,1595733185
38,Bethel,41.37,-73.41,75.99,83,1,4.7,US,1595733160
39,Vaini,-21.2,-175.2,75.2,69,20,9.17,TO,1595733189
40,Saint-Philippe,-21.36,55.77,68.0,77,72,20.8,RE,1595733190
41,Yellowknife,62.46,-114.35,72.0,35,20,8.05,CA,1595733191
42,North Bend,43.41,-124.22,66.0,87,1,26.4,US,1595733192
43,Kyaikkami,16.08,97.57,84.33,76,96,9.33,MM,1595733193
44,Usinsk,65.99,57.53,64.96,64,3,9.1,RU,1595733194
45,Noumea,-22.28,166.46,82.4,51,20,9.17,NC,1595732577
46,Lüderitz,-26.65,15.16,57.2,62,0,2.24,NA,1595733196
47,Dunedin,-45.87,170.5,55.99,60,51,3.0,NZ,1595733198
48,Port Alfred,-33.59,26.89,61.29,55,0,13.65,ZA,1595733199
49,Mūl,20.07,79.67,82.26,78,10,5.1,IN,1595733201
50,Oddur,4.12,43.89,70.92,74,87,20.45,SO,1595733202
