,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
0,36.21,83.17,25,0,6.58
1,-17.8,55.4,66,90,8.05
2,-33.93,57.2,93,75,2.24
3,6.12,78.8,100,90,8.05
4,-53.15,24.8,85,48,12.75
5,71.29,41.0,80,90,6.93
6,-33.65,60.01,84,0,8.61
7,-20.44,55.4,71,18,10.29
8,57.77,48.2,100,65,2.24
9,-21.64,70.92,88,0,11.27
10,53.45,62.82,69,100,2.06
11,-22.97,71.6,83,0,18.34
12,3.07,83.34,76,12,15.43
13,-38.0,46.99,87,100,16.11
14,56.17,62.6,93,90,4.47
15,-2.57,85.98,71,45,13.62
16,-0.74,66.99,92,99,1.01
17,12.58,82.4,78,75,6.93
18,73.51,39.38,91,100,15.99
19,42.1,69.8,73,1,0.94
20,61.36,64.31,52,6,3.62
21,-5.2,71.6,88,40,5.82
22,7.27,68.63,95,100,3.51
23,-33.02,69.8,26,0,9.17
24,64.5,59.0,67,90,9.17
25,65.61,42.8,87,100,9.17
26,19.73,82.4,65,90,13.87
27,-24.87,75.2,25,0,11.41
28,-42.88,57.0,62,20,6.93
29,22.89,84.99,78,5,14.99
30,-46.19,53.01,67,28,5.95
31,-23.12,70.45,81,18,20.85
32,55.93,69.37,36,35,8.79
33,-54.8,30.2,92,40,9.17
34,69.45,50.0,87,90,4.7
35,77.48,41.7,66,0,1.97
36,-17.0,84.0,44,0,6.93
37,-17.53,80.6,65,20,9.17
38,41.37,75.99,83,1,4.7
39,-21.2,75.2,69,20,9.17
40,-21.36,68.0,77,72,20.8
41,62.46,72.0,35,20,8.05
42,43.41,66.0,87,1,26.4
43,16.08,84.33,76,96,9.33
44,65.99,64.96,64,3,9.1
45,-22.28,82.4,51,20,9.17
46,-26.65,57.2,62,0,2.24
47,-45.87,55.99,60,51,3.0
48,-33.59,61.29,55,0,13.65
49,20.07,82.26,78,10,5.1
50,4.12,70.92,74,87,20.45
51,32.31,84.2,23,20,4.7
52,72.79,44.13,90,100,21.27
53,50.68,54.01,77,100,12.46
54,55.74,69.8,73,75,6.93
55,58.36,64.98,57,10,5.41
56,14.92,80.6,78,20,2.24
57,62.23,51.8,76,100,28.86
58,-3.8,82.74,70,4,7.76
59,-2.95,68.4,55,0,0.89
60,64.18,46.4,87,100,6.93
61,-7.95,81.91,62,63,13.04
62,70.37,58.03,69,0,7.36
63,-33.92,59.0,87,0,17.22
64,31.56,91.4,66,40,4.7
65,39.82,76.53,39,56,11.34
66,-15.27,40.75,54,2,0.94
67,38.52,71.6,86,11,13.56
68,65.58,53.24,66,65,6.91
69,-15.86,71.6,88,75,3.36
70,38.8,84.99,74,1,3.36
71,22.08,82.4,74,75,21.92
72,39.18,77.0,88,20,2.17
73,49.58,67.28,85,100,5.28
74,52.54,63.34,85,67,6.33
75,60.42,68.85,57,100,7.76
76,-38.27,54.28,65,33,0.89
77,32.83,86.0,40,20,8.05
78,57.79,53.6,93,90,9.17
79,52.52,62.83,65,100,1.25
80,-37.83,51.8,81,67,8.05
81,-33.01,55.4,93,45,1.12
82,9.17,55.98,100,100,2.15
83,4.17,69.04,96,100,2.84
84,50.1,61.0,63,28,10.96
85,-24.79,54.43,89,99,3.18
86,63.75,46.0,87,40,3.36
87,48.53,64.99,90,96,1.99
88,-46.6,51.64,77,58,20.22
89,43.21,69.01,82,1,3.36
90,-37.62,52.83,96,100,20.11
91,41.35,71.6,83,0,1.12
92,41.76,88.02,22,0,5.68
93,-22.43,72.75,74,88,10.04
94,-13.85,82.4,45,43,10.29
95,15.4,77.0,100,90,9.17
96,-20.74,75.33,23,99,22.12
97,65.61,60.64,71,28,12.46
98,-46.28,55.99,52,32,15.01
99,53.88,64.0,70,58,2.33
100,-24.56,50.74,78,100,5.48
101,22.68,92.82,33,0,2.26
102,33.97,60.01,72,0,4.7
103,35.39,72.28,93,100,5.14
104,-16.48,78.22,79,22,15.68
105,43.04,77.0,50,32,4.47
106,-23.7,60.8,44,0,12.75
107,36.62,62.01,82,1,10.29
108,35.43,79.09,67,100,0.54
109,64.38,58.06,62,64,7.63
110,6.07,67.93,97,63,2.19
111,4.87,74.34,88,50,7.58
112,65.28,75.2,36,75,4.7
113,49.93,80.04,61,100,12.8
114,-21.21,73.4,73,100,6.93
115,42.6,75.99,94,2,4.38
116,21.63,92.48,57,79,5.55
117,-28.78,61.86,75,0,13.94
118,-19.93,53.08,54,97,1.5
119,18.5,81.0,88,40,4.7
120,6.5,75.2,94,40,8.05
121,44.15,70.0,68,1,4.7
122,40.8,60.01,49,1,3.09
123,63.05,62.64,64,51,5.99
124,60.75,58.93,50,62,11.81
125,50.39,55.99,95,31,1.01
126,-28.77,69.8,73,0,8.05
127,-34.53,57.2,82,98,9.17
128,32.69,78.8,88,75,9.17
129,71.97,41.45,78,100,13.87
130,47.67,59.0,87,40,6.93
131,14.2,76.06,64,15,14.43
132,33.19,77.0,94,1,3.36
133,59.7,57.0,93,20,6.71
134,42.8,91.74,18,0,10.63
135,67.45,92.62,23,0,11.65
136,5.41,84.2,83,20,4.7
137,-20.52,69.8,64,75,16.11
138,58.52,71.6,37,40,5.82
139,50.2,66.0,93,90,4.7
140,40.6,60.01,82,1,9.17
141,64.75,75.2,64,13,8.95
142,31.61,75.0,62,0,1.01
143,5.95,80.49,82,92,14.09
144,19.37,84.0,79,100,1.99
145,28.66,71.6,73,90,13.87
146,37.1,95.0,13,1,8.05
147,22.86,90.21,62,70,12.5
148,69.7,49.03,86,53,1.88
149,27.98,67.51,81,0,16.28
150,-0.6,82.87,67,100,5.06
151,50.61,68.77,69,100,1.86
152,70.86,58.48,67,0,7.38
153,12.18,84.79,73,7,5.99
154,-34.65,50.0,64,0,1.01
155,19.22,84.2,83,75,4.76
156,-8.93,72.05,51,60,5.48
157,11.68,77.9,72,95,7.02
158,68.75,86.94,25,0,13.11
159,6.83,86.0,70,20,3.36
160,50.84,61.0,68,29,7.07
161,13.17,76.3,83,100,10.29
162,64.84,64.99,55,90,4.0
163,30.57,71.87,54,41,3.98
164,42.78,66.0,93,32,2.26
165,-42.78,54.0,75,0,2.35
166,-32.5,64.0,82,44,3.36
167,-6.22,86.23,62,100,6.26
168,64.25,50.43,84,100,13.13
169,9.11,77.0,94,98,3.15
170,35.6,74.17,46,0,1.43
171,-31.95,59.0,47,0,13.87
172,-41.41,59.0,66,1,3.36
173,4.88,73.71,89,49,7.27
174,64.48,59.79,65,100,11.18
175,-1.57,72.14,81,69,5.12
176,78.22,60.8,77,2,6.93
177,4.71,48.2,93,20,6.93
178,7.71,81.09,71,100,3.29
179,34.73,77.0,94,40,6.93
180,20.87,83.05,69,100,12.08
181,-38.55,46.99,70,83,13.0
182,42.03,66.99,95,0,3.31
183,13.57,72.48,83,100,1.79
184,38.73,69.8,88,20,5.7
185,-0.9,67.77,84,94,11.92
186,-13.28,70.61,41,0,5.88
187,44.02,84.2,37,0,4.47
188,10.23,68.45,100,38,3.89
189,17.02,78.8,88,40,5.82
190,20.93,69.8,88,90,17.22
191,30.48,66.99,79,0,10.36
192,65.42,46.24,89,100,9.22
193,66.32,58.14,67,32,6.51
194,66.15,49.33,78,10,1.88
195,0.8,80.98,74,96,6.6
196,20.7,84.2,79,90,4.7
197,-3.75,83.19,62,15,5.14
198,58.6,73.22,51,62,1.74
199,46.43,57.99,95,100,1.25
200,30.01,81.0,99,94,2.73
201,40.68,59.0,92,0,3.04
202,45.76,66.0,65,54,20.94
203,-1.02,73.85,94,52,2.59
204,11.28,89.08,41,9,15.79
205,-12.07,84.49,41,98,11.63
206,70.63,91.83,23,8,16.53
207,-34.42,55.99,88,68,1.99
208,-46.13,53.58,66,21,7.36
209,32.67,66.0,77,0,3.71
210,41.09,59.29,81,0,3.31
211,8.0,84.0,79,23,5.01
212,11.03,77.0,94,99,9.17
213,63.9,70.36,48,0,13.09
214,10.44,88.9,42,0,27.83
215,18.8,89.53,61,76,12.93
216,52.63,59.41,97,65,3.27
217,-20.97,80.6,53,1,9.26
218,-6.22,75.47,57,7,1.39
219,40.91,71.6,94,75,2.24
220,15.13,80.6,78,20,2.24
221,58.38,54.9,78,0,1.7
222,46.41,75.2,27,1,10.29
223,20.89,87.8,48,40,19.46
224,42.25,71.6,68,1,5.82
225,70.47,37.4,100,90,4.7
226,-33.7,42.4,82,0,8.05
227,-20.34,70.0,64,75,16.11
228,-1.05,72.37,98,52,1.7
229,2.62,68.81,98,97,0.74
230,42.68,84.99,60,2,5.99
231,71.92,35.24,94,100,23.33
232,16.36,86.02,69,75,5.1
233,39.01,81.0,78,40,3.27
234,14.92,80.6,78,20,2.24
235,-31.42,50.0,36,0,9.17
236,-17.71,70.72,90,9,4.41
237,-9.01,73.13,84,3,12.64
238,50.7,64.4,63,20,9.17
239,36.96,79.0,90,13,0.56
240,-24.42,35.6,80,0,3.36
241,38.42,82.99,39,1,13.87
242,66.04,46.4,87,90,9.17
243,40.43,84.2,37,26,9.17
244,49.08,61.38,83,100,6.91
245,60.47,72.66,52,0,5.35
246,25.43,87.8,89,40,3.36
247,30.33,74.89,29,0,11.41
248,69.53,59.0,62,0,6.93
249,-43.3,47.17,69,0,13.06
250,34.18,79.0,94,75,14.99
251,71.69,39.43,96,100,8.19
252,9.44,87.03,60,72,3.91
253,0.15,57.0,98,69,2.77
254,-6.15,65.79,40,30,4.05
255,-20.33,68.0,94,75,2.24
256,-6.05,60.8,67,5,5.82
257,51.38,57.99,95,0,1.99
258,13.03,72.93,96,96,4.97
259,58.3,57.99,87,90,13.87
260,43.37,66.2,88,90,2.24
261,66.0,41.0,93,90,11.18
262,56.67,73.76,60,82,3.53
263,50.08,62.6,100,98,1.92
264,-41.87,48.0,100,40,4.7
265,67.86,51.8,100,100,5.82
266,4.41,87.8,66,40,4.7
267,63.44,51.19,79,100,2.1
268,-4.58,64.11,86,78,13.31
269,-20.32,80.6,11,99,19.46
270,46.42,64.4,72,87,2.24
271,55.34,57.2,100,90,23.04
272,55.78,64.24,51,42,1.5
273,-2.65,72.32,78,98,1.79
274,-0.89,79.66,77,97,1.07
275,-22.0,76.12,31,30,14.07
276,18.45,84.2,66,20,3.36
277,20.15,84.92,75,77,7.56
278,48.4,77.0,83,20,6.93
279,49.99,66.99,93,20,5.82
280,40.56,78.8,78,20,2.24
281,44.62,64.0,90,43,8.01
282,48.81,69.01,61,5,1.39
283,8.93,70.79,94,86,1.28
284,33.7,70.0,73,1,5.82
285,36.89,80.73,44,0,5.01
286,43.48,66.2,88,90,2.24
287,48.65,59.76,88,93,16.49
288,-35.33,48.51,76,100,3.22
289,-13.7,62.6,82,90,4.7
290,66.77,58.66,68,100,22.06
291,9.92,64.67,92,95,3.11
292,-22.56,46.4,64,0,4.7
293,34.67,84.2,89,40,16.11
294,51.03,59.0,93,3,8.01
295,32.88,78.4,57,0,4.45
296,58.45,68.11,58,37,3.42
297,-10.62,79.29,87,98,16.87
298,-45.42,50.81,67,90,5.28
299,14.97,86.83,43,75,9.55
300,48.43,77.0,69,90,10.29
301,19.93,76.69,93,100,1.54
302,6.4,78.8,94,40,4.7
303,43.22,62.01,82,0,3.36
304,-14.27,69.64,84,100,17.58
305,54.56,68.23,64,100,6.91
306,68.05,81.64,36,30,10.27
307,22.55,91.99,70,20,8.95
308,37.83,71.6,88,0,2.24
309,-19.55,84.2,66,40,8.05
310,41.53,68.0,40,1,12.75
311,14.53,82.78,55,22,5.73
312,64.23,55.4,100,75,4.7
313,-0.03,80.8,78,71,6.44
314,-4.97,67.33,47,0,1.68
315,-40.81,48.99,69,100,3.0
316,-9.8,79.72,71,2,21.03
317,4.93,75.2,100,0,8.57
318,-35.17,57.88,66,58,8.39
319,12.18,77.41,80,76,2.89
320,-0.41,72.72,95,79,2.1
321,26.33,86.0,45,20,3.89
322,49.67,62.01,69,0,4.0
323,36.64,70.34,38,0,0.94
324,67.47,54.7,63,80,14.2
325,68.71,42.17,97,100,12.77
326,33.64,86.18,19,0,2.84
327,40.8,84.2,70,1,13.87
328,60.4,53.6,93,100,8.05
329,-2.92,77.31,81,81,12.53
330,67.67,66.76,66,42,5.88
331,11.0,87.84,67,18,1.95
332,-17.26,58.78,62,29,1.03
333,14.9,78.33,89,99,5.91
334,22.29,91.0,63,47,13.0
335,39.36,77.0,83,1,4.7
336,15.85,81.23,73,100,2.42
337,65.75,92.01,27,0,16.46
338,-21.34,68.0,77,20,32.21
339,1.74,86.04,58,64,2.64
340,-33.87,59.0,77,75,12.75
341,40.08,60.8,87,0,4.7
342,29.03,75.83,42,0,6.49
343,-1.84,67.87,55,0,11.27
344,52.25,79.74,71,96,6.78
345,10.57,82.4,78,20,5.82
346,39.41,77.0,83,1,4.7
347,52.43,59.0,87,98,4.47
348,10.17,74.84,94,100,6.89
349,20.5,90.46,29,0,14.41
350,-34.73,59.09,73,100,11.3
351,1.64,71.22,95,100,3.06
352,61.03,51.8,93,18,3.36
353,29.58,69.28,70,0,1.07
354,51.22,66.2,52,1,16.11
355,54.3,77.79,41,97,3.29
356,2.3,84.2,79,40,2.24
357,30.67,79.0,100,75,6.93
358,69.3,81.57,29,26,19.91
359,-8.42,59.52,39,5,4.07
360,-22.5,63.39,68,0,0.94
361,-20.21,70.0,64,75,16.11
362,70.02,65.93,77,100,14.38
363,0.54,77.13,88,82,9.6
364,46.44,73.02,33,13,13.44
365,32.87,75.2,23,0,6.93
366,37.24,81.0,50,0,6.93
367,69.22,42.8,100,100,11.41
368,28.48,69.01,93,90,16.11
369,-22.96,71.76,68,0,6.08
370,21.43,84.47,46,11,3.33
371,68.05,61.83,65,69,1.79
372,-39.81,51.8,93,75,9.17
373,-8.65,82.4,65,20,14.99
374,-9.54,54.36,60,0,1.86
375,-8.84,71.6,88,75,6.69
376,-45.58,35.6,93,20,2.24
377,2.74,70.65,97,100,2.26
378,33.08,69.8,73,40,13.87
379,-0.36,77.38,78,25,19.69
380,65.85,60.58,85,93,4.63
381,-11.38,76.35,67,59,13.29
382,65.97,46.4,87,90,9.17
383,47.43,82.0,27,1,6.93
384,6.3,75.96,83,100,9.91
385,-9.88,71.85,55,0,2.91
386,-2.67,83.73,76,93,2.28
387,-26.62,41.22,82,100,3.83
388,-5.63,53.29,77,0,4.61
389,-37.57,53.01,77,2,1.66
390,10.86,74.26,90,91,3.98
391,5.67,82.26,72,100,7.47
392,59.19,56.48,72,98,3.11
393,-2.02,83.25,75,100,15.86
394,-43.53,59.0,38,22,8.05
395,57.26,48.0,100,20,1.12
396,-20.41,69.8,64,75,16.11
397,31.83,75.0,94,1,2.3
398,17.96,80.73,77,44,2.53
399,37.69,86.0,66,40,9.17
400,61.47,72.5,45,0,8.03
401,4.71,73.4,100,75,3.8
402,-23.41,64.4,77,20,4.7
403,-7.33,71.85,95,43,1.61
404,1.17,80.24,80,81,6.29
405,60.14,43.3,88,95,2.95
406,-30.18,50.68,71,31,11.45
407,64.86,64.99,55,75,3.62
408,32.79,80.01,100,40,7.38
409,63.84,48.2,81,75,18.34
410,52.6,61.0,95,98,8.88
411,-28.06,38.77,96,100,1.43
412,-20.73,71.6,21,0,12.75
413,-34.2,60.01,58,0,8.05
414,9.29,87.03,64,72,8.46
415,42.34,71.02,40,50,4.25
416,35.13,90.0,100,75,6.93
417,31.45,68.43,41,0,1.5
418,-3.48,70.16,52,36,0.67
419,61.28,64.36,60,23,7.38
420,9.18,88.16,63,71,5.35
421,8.41,69.46,97,63,3.18
422,53.22,60.12,71,49,3.0
423,19.24,84.2,83,75,3.15
424,32.83,80.29,15,0,1.48
425,36.37,81.32,45,0,2.64
426,41.28,71.6,94,1,8.05
427,44.17,88.03,19,83,9.01
428,56.85,70.7,44,100,3.06
429,27.27,78.8,44,0,9.17
430,54.77,62.46,87,66,7.34
431,27.37,77.29,75,100,0.67
432,18.22,84.2,79,40,12.75
433,41.72,66.99,93,20,8.46
434,36.82,75.99,77,0,5.82
435,62.58,53.6,93,99,16.11
436,54.46,65.75,65,85,2.13
437,69.49,55.4,58,0,26.84
438,39.05,71.31,88,0,17.65
439,59.38,62.89,62,0,13.96
440,55.65,65.86,47,44,1.36
441,-23.13,78.8,36,40,10.29
442,54.72,61.79,73,11,9.28
443,-12.04,59.0,87,90,6.93
444,35.37,64.99,88,17,4.16
445,-45.87,37.4,86,90,12.75
446,27.97,90.0,71,0,5.01
447,7.38,70.95,98,100,3.96
448,40.66,80.01,83,40,14.99
449,39.89,73.4,88,0,2.24
450,40.16,63.0,92,71,3.42
451,69.65,57.2,71,75,20.8
452,18.39,69.8,56,86,3.27
453,6.19,75.13,90,100,3.67
454,60.02,54.81,77,0,0.78
455,40.92,82.4,69,1,13.87
456,45.52,77.0,39,0,8.84
457,-7.5,63.03,95,28,6.96
458,-3.67,85.93,67,65,8.86
459,30.99,86.0,59,98,2.48
460,13.22,82.4,78,40,18.34
461,-20.94,68.0,63,40,16.11
462,-9.44,87.8,66,40,17.22
463,11.65,80.6,78,75,1.9
464,60.34,69.96,46,38,2.39
465,65.82,60.03,61,83,6.67
466,18.76,78.8,94,40,4.63
467,-16.44,66.67,41,0,4.79
468,26.18,86.0,74,75,9.17
469,52.92,60.91,79,15,8.37
470,51.67,66.6,63,47,12.21
471,3.78,82.65,68,100,4.41
472,27.32,62.46,90,100,6.29
473,37.35,62.6,93,90,6.93
474,51.23,61.02,87,92,0.54
475,41.0,68.0,68,5,9.17
476,-24.79,32.0,52,0,1.12
477,29.06,73.4,73,90,19.46
478,23.19,93.2,56,20,6.71
479,60.06,61.84,64,71,3.85
480,35.73,91.0,70,40,9.17
481,30.73,82.4,74,75,3.36
482,45.29,68.0,82,32,2.24
483,34.45,79.38,45,0,9.17
484,-43.25,46.71,65,0,14.25
485,39.09,73.17,67,0,11.97
486,59.24,65.21,58,0,4.97
487,10.7,57.92,95,100,1.52
488,-2.47,59.05,70,49,0.87
489,5.47,84.63,66,100,3.94
490,25.12,84.04,80,94,6.58
491,42.29,89.65,38,0,9.91
492,-1.88,76.91,59,98,3.04
493,45.62,69.8,77,75,8.05
494,-23.49,49.66,60,100,4.68
495,25.52,84.42,79,56,2.24
496,45.93,78.64,64,30,2.66
497,37.73,66.2,82,40,2.24
498,-7.38,76.84,68,100,4.74
499,-22.47,39.2,3,0,23.04
500,51.1,67.6,71,37,4.9
501,-20.35,76.98,64,0,14.61
502,-4.97,76.23,77,9,16.06
503,13.59,72.0,92,100,2.39
504,-16.81,47.32,91,13,4.79
505,-29.29,29.62,81,0,1.19
506,68.12,53.28,90,100,6.98
507,9.94,78.8,94,40,6.93
508,20.86,85.41,73,81,4.85
509,-17.73,80.6,65,20,9.17
510,44.5,71.13,75,14,7.07
511,12.06,82.4,88,20,14.99
512,42.25,64.4,72,1,4.7
513,48.38,59.0,93,75,3.36
514,17.33,87.8,70,60,20.8
515,12.22,85.28,71,5,6.06
516,14.16,63.19,85,92,1.86
517,-38.08,60.01,55,0,1.99
518,42.33,68.16,77,100,7.0
519,43.31,71.01,77,1,4.7
520,59.76,60.01,22,2,1.01
521,-12.49,87.01,20,1,14.99
522,43.3,81.19,36,0,3.62
523,-6.64,71.02,55,0,1.92
524,63.92,69.35,51,0,6.64
525,-14.48,62.91,72,100,6.69
526,-0.19,72.16,98,66,1.77
527,-29.55,44.92,79,0,4.18
528,-32.03,42.01,94,0,11.12
529,22.24,84.25,78,100,5.41
530,7.13,55.45,90,29,12.08
531,23.6,86.0,74,75,9.17
532,10.35,85.46,70,97,8.61
533,65.53,60.89,71,7,12.75
534,13.22,84.2,74,75,6.93
535,55.96,62.6,93,90,4.47
536,46.68,67.51,73,100,11.41
537,-34.58,60.01,93,100,1.99
538,-8.28,61.2,96,14,6.78
539,42.64,75.99,82,75,10.29
540,-14.66,44.31,61,0,3.69
541,19.89,89.6,62,40,4.7
542,39.55,78.01,85,79,2.37
543,4.65,69.8,97,100,1.83
544,6.27,68.25,96,95,2.15
545,24.85,87.78,50,0,5.14
546,58.84,77.11,47,40,2.13
547,70.03,55.6,76,85,18.68
548,39.72,84.2,37,0,2.24
549,54.1,55.4,87,41,2.24
550,36.95,77.0,73,100,3.74
551,51.26,73.4,78,75,6.93
552,69.38,52.2,74,59,7.05
553,13.78,86.32,70,98,3.02
554,54.81,69.49,48,99,4.5
555,-8.77,78.58,85,100,4.32
556,-5.09,63.59,83,10,11.99
557,8.8,86.43,59,34,2.64
558,-0.87,83.71,70,98,5.99
